validationId,validationIdHex,nodeId,subnetId,weight,remainingBalance,creationTimestamp
2iq93TLZsZXxjhzDBPy5RVmh1Two7Uddrvf3Zo95NQe6HWeZFb,e2ad19cf328cb039030837a7a1454b6c9ac54fabf27d3d2dec88e4e2313a6909,NodeID-ERsmGLYQWuwx8nibHTig6JGYbS4uUYW2D,2sseUhPNj1G7rV5hUQzoadUx15kybrjQdVrAiNS1MnxeZSn1fs,100,0,1779459623
25BYUHw1Tqukpjk7xXsi7nGqrd865Ba1yuUydjYXK8S6UpPPSi,8d30f9e6150606ef2d4a6902f69d37324d10e1c898f58414bc29eaebfdf371ac,NodeID-JtSAg5QuQPmJHRDBoz2AMSgHncv76n9h4,2sseUhPNj1G7rV5hUQzoadUx15kybrjQdVrAiNS1MnxeZSn1fs,100,0,1779459623
chfZ9jcuFbCrcC7bknHzsRSaiM7EtaF5pHgaGyTm6KpWgRyRN,511052027e2c4ffbc20157cf96f930f2b13d6460425e8b01946e0fd1c365135a,NodeID-L35Vrgp6KWG8C7QPtFLGEcv9DeSZhB1yD,2sseUhPNj1G7rV5hUQzoadUx15kybrjQdVrAiNS1MnxeZSn1fs,100,0,1779459623
2tjGkxVLRn3CAsqahuEcCBTXX3VmZHfrE3J3sFDffvgthdoNA6,f927184824334efa63b47f68b1b5cfd80d61d1cad0d4383a5d4038ad3edbed97,NodeID-EZdweWLDowmi51iT76xx8EemTt7axmG6j,2sseUhPNj1G7rV5hUQzoadUx15kybrjQdVrAiNS1MnxeZSn1fs,100,0,1779459623
2czbCNrKFZPfeucnJhYdL1nsus9Gjz5TLEPuHjxibPdwaf6nHr,d56c248537ec70a547d7fe5f4943a5487fc35b64b3e3623e889415050bdd0e92,NodeID-EqZqCHMZF4WcKzTyzyJuwXeZakWyzYy5z,2sseUhPNj1G7rV5hUQzoadUx15kybrjQdVrAiNS1MnxeZSn1fs,100,0,1779459623
2Ja75uZZhcerG2qtNx7Lb747DjNQqsYEWTPptoSEzihHEMFLyv,ab97ba6255edf9f2f7a4d861a945395a169b38e320c4e376d0c7184b39243655,NodeID-PUw5p37RZKVjpK8kxBa12TBtZZdhykGUP,eYwmVU67LmSfZb1RwqCMhBYkFyG8ftxn6jAwqzFmxC9STBWLC,0,0,1741824752
2frxxw2nkJRCn2JSeXyrmaC9D8wz2d53m8ebYp1DTymvEsFcJe,dbef90c8eefd86c98ab818b8ff26ed9807e1265ce54efe909df6cbf92fa6f2eb,NodeID-Mun9TcmxP9R3CF932yMo4JdRg8cYTJfyd,o4Eariv2Cx1fTvPFXYofpJfS9KgwFaiGN8KFGcCeZM9t87GJr,90,15995948544,1777332502
FjpgsDsYpSycDSCcvHCjt8g22YZECrmn7XHM2FswzVgDhMaib,217713b1ff83b9bcaf1b7458a8c0a2c93a5261f8e2b39a01acd3d8894a58e67b,NodeID-ETn3YUA3aWnKaunfQHKkSTheKrGW1KScM,o4Eariv2Cx1fTvPFXYofpJfS9KgwFaiGN8KFGcCeZM9t87GJr,90,15955929600,1777329551
2KVEUSDwAx6dueZTwJqpuTikyJLNsmWMumU34pW3UNr228VTrR,adac2c7c381c686e27e8c08b2d47966122b76bd2390825b55e1a1d278f03f38b,NodeID-3o8AHXAPZxPWdcSgtB7k22WYWPKuzmjRN,o4Eariv2Cx1fTvPFXYofpJfS9KgwFaiGN8KFGcCeZM9t87GJr,90,15956905024,1777328815
2J5RMV4M9UyiDpqbZRUQ4neV8DiBdiwinH7osFonN6VE3Pc2po,aa783ebf4f38c44bb31eff9ced79e799cf174eca6a0b0f0a6c63173d2039e731,NodeID-AZdhTpGDfDXBApWtVxUvNLzmEzSLcVN16,eYwmVU67LmSfZb1RwqCMhBYkFyG8ftxn6jAwqzFmxC9STBWLC,60812,666906581,1747782732
